id,long_code,nombre,poblacion
3152,22186AA000,Pozán de Vero                                                         ,235
3160,22195AA000,Quicena                                                               ,329
3176,22207AA000,San Juan de Plan                                                      ,154
3190,22218AA000,Senés de Alcubierre                                                   ,45
2888,22001AA000,Abiego                                                                ,261
2914,22006AA000,Aisa                                                                  ,324
2936,22011AA000,Albero Alto                                                           ,125
2942,22013AA000,Alberuela de Tubo                                                     ,308
2963,22021AA000,Almudévar                                                             ,2439
3002,22055AA000,Berbegal                                                              ,322
3005,22059AA000,Biescas                                                               ,1602
3039,22081AA000,Casbas de Huesca                                                      ,291
3042,22083AA000,Castejón de Monegros                                                  ,478
3057,22102AA000,Estada                                                                ,203
3061,22107AA000,Fanlo                                                                 ,113
3070,22115AA000,Grado (El)                                                            ,391
3081,22124AA000,Huerto                                                                ,228
3105,22137AA000,Lanaja                                                                ,1173
3108,22141AA000,Lascellas-Ponzano                                                     ,135
3113,22144AA000,Laspuña                                                               ,279
3161,22197AA000,Robres                                                                ,523
3164,22200AA000,Sahún                                                                 ,319
3181,22213AA000,Sariñena                                                              ,4131
3222,22252AA000,Yebra de Basa                                                         ,161
3224,22254AA000,Zaidín                                                                ,1784
2925,22008AA000,Albalatillo                                                           ,200
2947,22015AA000,Alcalá del Obispo                                                     ,370
2953,22017AA000,Alcolea de Cinca                                                      ,1092
2975,22029AA000,Antillón                                                              ,133
2981,22040AA000,Azanuy-Alins                                                          ,175
3023,22067AA000,Bonansa                                                               ,92
3056,22099AA000,Esplús                                                                ,673
3068,22114AA000,Gistaín                                                               ,122
3073,22117AA000,Graus                                                                 ,3415
3090,22126AA000,Ibieca                                                                ,108
3109,22142AA000,Lascuarre                                                             ,138
3114,22149AA000,Loarre                                                                ,350
3141,22175AA000,Peralta de Calasanz                                                   ,272
3175,22206AA000,Sangarrén                                                             ,211
3178,22209AA000,Santa Cruz de la Serós                                                ,192
2923,22007GG000,Mc. Forestal Ansó-Fago                                                ,0
2934,22010GG000,Mc. Forestal de Buesa-Broto                                           ,0
2937,22011GG000,Mc. Forestal Aragues del Puerto-Jasa                                  ,0
2940,22012GG000,Mc. Pastos del Puerto Escarra                                         ,0
2949,22015GG000,"Mc. Linas, Fragen y Broto                                             ",0
2931,22009GG000,Mc. Forestal del Valle del Broto                                      ,0
2927,22008GG000,Mc. Forestal Quiñón de Panticosa                                      ,0
2938,22011MM000,Mc. Alto Valle del Aragón                                             ,0
2968,22024MM000,Mc. Aguas de Calcon                                                   ,0
2929,22008MM000,Mc. Aguas de Antillón y Seis Pueblos Más                              ,0
23,22010RR000,Cm. Sobrarbe                                                          ,0
28,22006RR000,Cm. Alto Gállego                                                      ,0
31,22001RR000,Cm. Cinca Medio                                                       ,0
32,22009RR000,Cm. La Ribagorza                                                      ,0
33,22005RR000,Cm. Bajo Cinca-Baix Cinca                                             ,0
22,22008RR000,Cm. Hoya de Huesca-Plana de Uesca                                     ,0
30,22002RR000,Cm. Somontano de Barbastro                                            ,0
2904,22003RR000,Cm. La Jacetania                                                      ,0
25,22004RR000,Cm. los Monegros                                                      ,0
29,22007RR000,Cm. La Litera                                                         ,0
1854,23001AA000,Albanchez de Mágina                                                   ,958
1866,23003AA000,Alcaudete                                                             ,10265
1876,23005AA000,Andújar                                                               ,35788
1883,23006AA000,Arjona                                                                ,5349
1886,23007AA000,Arjonilla                                                             ,3539
1894,23009AA000,Baeza                                                                 ,15723
1902,23010AA000,Bailén                                                                ,17211
1912,23012AA000,Beas de Segura                                                        ,4984
1922,23014AA000,Begíjar                                                               ,2967
1925,23015AA000,Bélmez de la Moraleda                                                 ,1525
1928,23016AA000,Benatae                                                               ,437
1933,23018AA000,Cambil                                                                ,2643
1935,23019AA000,Campillo de Arenas                                                    ,1708
1938,23020AA000,Canena                                                                ,1780
1940,23021AA000,Carboneros                                                            ,606
1950,23026AA000,Castillo de Locubín                                                   ,3901
1956,23029AA000,Chiclana de Segura                                                    ,896
1958,23030AA000,Chilluévar                                                            ,1363
1960,23031AA000,Escañuela                                                             ,934
1962,23032AA000,Espeluy                                                               ,604
1965,23034AA000,Fuensanta de Martos                                                   ,3023
1967,23035AA000,Fuerte del Rey                                                        ,1352
1972,23038AA000,Guardia de Jaén (La)                                                  ,5175
1974,23039AA000,Guarromán                                                             ,2782
1978,23041AA000,Higuera de Calatrava                                                  ,605
1980,23042AA000,Hinojares                                                             ,348
1989,23046AA000,Ibros                                                                 ,2737
1993,23048AA000,Iznatoraf                                                             ,902
1997,23050AA000,Jaén                                                                  ,111888
2015,23054AA000,Larva                                                                 ,444
2016,23055AA000,Linares                                                               ,55096
2022,23056AA000,Lopera                                                                ,3579
2027,23059AA000,Marmolejo                                                             ,6586
2029,23060AA000,Martos                                                                ,24363
2030,23061AA000,Mengíbar                                                              ,10041
2033,23063AA000,Navas de San Juan                                                     ,4427
2038,23066AA000,Peal de Becerro                                                       ,5325
2042,23069AA000,Porcuna                                                               ,5975
2043,23070AA000,Pozo Alcón                                                            ,4594
2044,23071AA000,Puente de Génave                                                      ,2168
2045,23072AA000,Puerta de Segura (La)                                                 ,2226
2047,23074AA000,Rus                                                                   ,3453
2049,23075AA000,Sabiote                                                               ,3823
2053,23079AA000,Santisteban del Puerto                                                ,4442
2055,23081AA000,Segura de la Sierra                                                   ,1710
2059,23085AA000,Torreblascopedro                                                      ,2434
2060,23086AA000,Torredelcampo                                                         ,13871
2063,23087AA000,Torredonjimeno                                                        ,13301
2065,23088AA000,Torreperogil                                                          ,7108
2067,23091AA000,Torres de Albánchez                                                   ,746
2076,23094AA000,Vilches                                                               ,4238
2079,23095AA000,Villacarrillo                                                         ,10344
2087,23096AA000,Villanueva de la Reina                                                ,2964
2090,23097AA000,Villanueva del Arzobispo                                              ,7933
2094,23098AA000,Villardompardo                                                        ,920
2097,23901AA000,Cárcheles                                                             ,1300
2099,23902AA000,Bedmar y Garcíez                                                      ,2605
2101,23903AA000,Villatorres                                                           ,4261
2103,23905AA000,Arroyo del Ojanco                                                     ,2187
1948,23025AA000,Castellar                                                             ,3173
1984,23044AA000,Huelma                                                                ,5559
1995,23049AA000,Jabalquinto                                                           ,1962
2032,23062AA000,Montizón                                                              ,1606
2037,23065AA000,Orcera                                                                ,1735
2068,23092AA000,Úbeda                                                                 ,33810
2075,23093AA000,Valdepeñas de Jaén                                                    ,3566
2102,23904AA000,Santiago-Pontones                                                     ,2729
1872,23004AA000,Aldeaquemada                                                          ,468
1907,23011AA000,Baños de la Encina                                                    ,2558
1970,23037AA000,Génave                                                                ,561
1982,23043AA000,Hornos                                                                ,574
