indicador,periodo,codigo_ine,valor,indice,categoria,no_agregar,texto
48,2016,43090,9194.00,,,,
48,2017,43090,9456.00,,,,
48,2018,43090,10028.00,,,,
48,2019,43090,10683.00,,,,
48,2020,43090,10525.00,,,,
48,2021,43090,10832.00,,,,
48,2022,43090,11396.00,,,,
48,2023,43090,12296.00,,,,
48,2015,43091,9935.00,,,,
48,2016,43091,10148.00,,,,
48,2017,43091,10324.00,,,,
48,2018,43091,12746.00,,,,
48,2019,43091,11885.00,,,,
48,2020,43091,12114.00,,,,
48,2021,43091,13847.00,,,,
48,2022,43091,15047.00,,,,
48,2023,43091,14217.00,,,,
48,2015,43092,9587.00,,,,
48,2016,43092,9649.00,,,,
48,2017,43092,10419.00,,,,
48,2018,43092,10574.00,,,,
48,2019,43092,11400.00,,,,
48,2020,43092,11403.00,,,,
48,2021,43092,12211.00,,,,
48,2022,43092,12649.00,,,,
48,2023,43092,13777.00,,,,
48,2015,43093,11266.00,,,,
48,2016,43093,11673.00,,,,
48,2017,43093,11862.00,,,,
48,2018,43093,12065.00,,,,
48,2019,43093,12301.00,,,,
48,2020,43093,12853.00,,,,
48,2021,43093,13364.00,,,,
48,2022,43093,13557.00,,,,
48,2023,43093,14533.00,,,,
48,2015,43094,10382.00,,,,
48,2016,43094,10573.00,,,,
48,2017,43094,10915.00,,,,
48,2018,43094,11259.00,,,,
48,2019,43094,11640.00,,,,
48,2020,43094,12031.00,,,,
48,2021,43094,12335.00,,,,
48,2022,43094,12634.00,,,,
48,2023,43094,13594.00,,,,
48,2015,43095,11489.00,,,,
48,2016,43095,11747.00,,,,
