codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43103,2,8.387243219,1,2026
43103,3,0.0,1,2022
43103,6,73.271373315,2,2023
43104,1,59.149270205,2,2024
43104,10,22.73241348,1,2024
43104,3,0.0,1,2022
43104,6,49.245564275,2,2023
43105,1,45.333644425,2,2024
43105,10,0.0,1,2024
43105,6,58.9958159,1,2023
43106,1,67.63396789000001,2,2024
43106,10,0.0,1,2024
43106,3,84.7,1,2022
43106,6,69.06066564,2,2023
43107,1,45.333644425,2,2024
43107,10,0.0,1,2024
43107,3,7.5,1,2022
43107,6,85.648164805,2,2023
43108,1,46.117421484000005,2,2024
43108,10,23.0264646,1,2024
43108,3,24.7,1,2022
43108,6,62.27036246,2,2023
43109,1,35.83781423333334,3,2024
43109,10,100.0,1,2024
43109,2,2.712518443,1,2026
43109,3,0.0,1,2022
43109,6,76.8517943,2,2023
43110,1,68.57947672,2,2024
43110,10,0.0,1,2024
43110,3,0.0,1,2022
43110,6,43.93305439,1,2023
43111,1,45.333644425,2,2024
43111,10,45.87197467,1,2023
43111,3,97.8,1,2022
43111,6,64.2010789,2,2023
43112,1,62.18485119500001,2,2024
43112,10,0.0,1,2024
43112,3,7.6,1,2022
43112,6,65.69037657,1,2023
43113,1,78.109210485,2,2024
43113,10,31.14679937,1,2022
43113,3,81.4,1,2022
43113,6,61.659595025,2,2023
43114,1,69.17041974,2,2024
43114,10,0.0,1,2024
43114,3,77.0,1,2022
43114,6,66.10878661,1,2023
43115,1,52.841731015,2,2024
43115,10,0.0,1,2024
43115,3,42.4,1,2022
43115,6,80.33472803,1,2023
43116,1,93.349319965,2,2024
43116,10,51.21013345,1,2024
43116,3,0.0,1,2022
43116,6,62.647116874999995,2,2023
43117,1,87.452330665,2,2024
43117,10,0.0,1,2024
43117,3,69.7,1,2022
43117,6,71.9665272,1,2023
43118,1,76.516774555,2,2024
43118,10,0.0,1,2024
43118,3,0.0,1,2022
43118,6,43.28144918,2,2023
43119,1,45.333644425,2,2024
43119,10,44.08504863,1,2024
43119,3,0.0,1,2022
43119,6,76.54684677,2,2023
43120,1,85.79146975500001,2,2024
43120,10,0.0,1,2024
43120,3,39.6,1,2022
43120,6,28.37734981,2,2023
43121,1,74.86835455,2,2024
43121,10,0.0,1,2024
43121,3,0.0,1,2022
43121,6,45.617272035,2,2023
43122,1,83.875570275,2,2024
43122,10,0.0,1,2024
43122,3,64.3,1,2022
43122,6,69.45606695,1,2023
43123,1,35.83781423333334,3,2024
43123,10,40.26238408,1,2024
43123,2,3.858812848,1,2026
43123,3,69.9,1,2022
43123,6,48.5044867,2,2023
43124,1,88.82705074500001,2,2024
43124,10,58.65188871,1,2024
43124,3,0.0,1,2022
43124,6,27.84727652,2,2023
43125,1,64.54240282500001,2,2024
43125,10,0.0,1,2024
43125,3,83.2,1,2022
43125,6,63.405042075000004,2,2023
43126,1,47.06915077,2,2024
43126,10,12.03347659,1,2024
43126,3,97.8,1,2022
43126,6,71.553405895,2,2023
43127,1,45.333644425,2,2024
43127,10,10.35964714,1,2024
43127,3,78.6,1,2022
43127,6,53.61406172,2,2023
43128,1,45.333644425,2,2024
43128,10,0.0,1,2023
43128,3,83.2,1,2022
43128,6,71.13853985,2,2023
43129,1,38.40191679666667,3,2024
43129,10,23.4336123,1,2024
43129,2,4.914311656,1,2026
43129,3,89.4,1,2022
43129,6,59.049848265,2,2023
43130,1,45.333644425,2,2024
43130,10,0.0,1,2024
43130,3,42.6,1,2022
43130,6,79.91631799,1,2023
43131,1,57.22092982,2,2024
43131,10,85.6819724,1,2024
43131,3,53.2,1,2022
43131,6,50.74723868,2,2023
43132,1,45.333644425,2,2024
43132,10,12.7120561,1,2024
43132,3,0.0,1,2022
43132,6,41.148615715,2,2023
43133,1,74.143438125,2,2024
43133,10,40.53381588,1,2024
43133,3,0.0,1,2022
43133,6,52.455446475,2,2023
43134,1,40.222429616666666,3,2024
43134,10,0.0,1,2024
43134,2,0.0,1,2026
43134,3,96.2,1,2022
43134,6,78.66108787,1,2023
43135,1,75.17315674,2,2024
43135,10,13.36801629,1,2024
