indicador,periodo,codigo_ine,valor,umbral
D-10-b,2010,43155,66.53,
D-ST-1,2010,43155,72.92,
D-ST-2,2010,43155,1.39,
D-ST-3,2010,43155,0.57,
D-ST-4,2010,43155,1.39,
D-14,2010,43155,85.80,
D-17-a,2010,43155,20.43,
D-17-b,2010,43155,2.88,
D-18-a,2010,43155,387.91,
D-18-b,2010,43155,71.24,
D-18-c,2010,43155,15.35,
D-22-a,2010,43155,19.72,
D-22-b,2010,43155,12.75,
D-23,2010,43155,19.42,
D-24-a,2010,43155,54.37,
D-24-b,2010,43155,23.93,
D-24-c,2010,43155,30.87,
D-26-a,2010,43155,0.23,
D-26-b,2010,43155,7.41,
D-26-c,2010,43155,11.16,
D-26-d,2010,43155,81.20,
D-27-a,2010,43155,0.00,
D-27-b,2010,43155,5.55,
D-27-c,2010,43155,11.06,
D-27-d,2010,43155,83.39,
D-28-a,2010,43155,11.14,
D-28-b,2010,43155,41.68,
D-28-c,2010,43155,53.81,
D-29,2010,43155,412.66,
D-32,2010,43155,15.77,
D-33,2010,43155,6.09,
D-ST-6,2010,43155,0.89,
D-ST-7,2010,43155,3.66,
D-1,2010,43037,7.07,
D-2-a,2010,43037,32.94,
D-2-b,2010,43037,11.59,
D-2-d,2010,43037,50.63,
D-3-a,2010,43037,0.13,
D-3-b,2010,43037,0.38,
D-4,2010,43037,62.69,
D-5,2010,43037,2.47,
D-6,2010,43037,100.22,
D-7,2010,43037,14.03,
D-8,2010,43037,47.09,
D-9,2010,43037,0.90,
D-10-a,2010,43037,0.53,
D-10-b,2010,43037,59.08,
D-ST-1,2010,43037,39.60,
D-ST-2,2010,43037,24.46,
D-ST-3,2010,43037,15.91,
D-ST-4,2010,43037,11.65,
D-ST-5,2010,43037,9.68,
D-14,2010,43037,67.20,
D-17-a,2010,43037,254.52,
D-17-b,2010,43037,3.62,
D-18-a,2010,43037,521.60,
D-18-b,2010,43037,71.18,
D-18-c,2010,43037,11.90,
D-22-a,2010,43037,16.50,
D-22-b,2010,43037,18.94,
D-23,2010,43037,11.70,
D-24-a,2010,43037,51.62,
D-24-b,2010,43037,26.60,
D-24-c,2010,43037,25.40,
D-26-a,2010,43037,0.15,
D-26-b,2010,43037,16.37,
D-26-c,2010,43037,8.62,
D-26-d,2010,43037,74.86,
D-27-a,2010,43037,0.11,
D-27-b,2010,43037,11.67,
D-27-c,2010,43037,9.92,
D-27-d,2010,43037,78.30,
D-28-a,2010,43037,10.68,
D-28-b,2010,43037,40.16,
D-28-c,2010,43037,57.35,
D-29,2010,43037,470.08,
D-32,2010,43037,32.02,
D-33,2010,43037,28.99,
D-34,2010,43037,13.22,
D-35,2010,43037,5.97,
D-ST-6,2010,43037,20.04,
D-ST-7,2010,43037,94.16,
D-1,2010,43905,6.93,
D-2-a,2010,43905,33.47,
D-2-b,2010,43905,31.34,
D-2-d,2010,43905,22.15,
D-3-a,2010,43905,0.22,
D-3-b,2010,43905,0.68,
D-4,2010,43905,48.06,
D-5,2010,43905,2.05,
D-6,2010,43905,118.90,
D-8,2010,43905,49.76,
D-9,2010,43905,0.84,
D-10-a,2010,43905,0.47,
D-10-b,2010,43905,56.51,
D-ST-1,2010,43905,6.22,
D-ST-2,2010,43905,30.82,
D-ST-3,2010,43905,20.25,
D-ST-4,2010,43905,2.55,
D-ST-5,2010,43905,18.00,
D-14,2010,43905,68.80,
D-17-a,2010,43905,119.34,
D-17-b,2010,43905,5.90,
D-18-a,2010,43905,518.81,
D-18-b,2010,43905,71.09,
D-18-c,2010,43905,13.35,
D-22-a,2010,43905,15.68,
D-22-b,2010,43905,12.29,
D-23,2010,43905,6.68,
D-24-a,2010,43905,50.43,
D-24-b,2010,43905,26.84,
D-24-c,2010,43905,23.98,
D-26-a,2010,43905,0.66,
D-26-b,2010,43905,10.99,
D-26-c,2010,43905,11.30,
D-26-d,2010,43905,77.06,
D-27-a,2010,43905,1.38,
D-27-b,2010,43905,7.31,
D-27-c,2010,43905,11.90,
D-27-d,2010,43905,79.40,
D-28-a,2010,43905,8.81,
D-28-b,2010,43905,39.16,
D-28-c,2010,43905,60.31,
D-29,2010,43905,418.62,
D-32,2010,43905,25.12,
D-33,2010,43905,22.58,
D-34,2010,43905,0.00,
D-35,2010,43905,2.45,
D-ST-6,2010,43905,3.76,
D-ST-7,2010,43905,15.72,
